solvent,T0,T1,X1,TX
he,0.23833588388435478,0.1188401915518387,0.07552385495161876,0.007711696826886629
hp,0.15362762670604435,0.03315602165178136,0.08993012870834226,0.0032872531302901714
oc,0.11546057235401097,0.0009598955814942812,0.0753477947069243,0.010479668385739879
dc,0.13251296371034751,0.021723353605967378,0.05675030746608045,0.008742205572867425
hd,0.4133100340024326,0.2727339046278617,0.13778637227655907,0.019065831839928438
ch,0.14212123895707118,0.01283048304045286,0.10687871986687573,0.041888613523315334
