dataset,n,r2_env_vs_bulk,D_one_minus_r2,loo_rmse_env_from_bulk,kinetic_delta_mse_env_vs_bulk,status
A8_BPAc_binary,10,0.9716270632460928,0.028372936753907174,0.4944904915623932,-0.23144365817300297,kinetic_negative
A9_BPAc_neat,12,0.4850756857838462,0.5149243142161538,1.4388356067271588,0.3760460,kinetic_positive_robust_P1
A11_proton_transfer,5,0.5066070922263008,0.49339290777369915,1.873920628227948,1.9217821375787383,kinetic_positive_supporting_P1
