feature,raw_native_mse,loo_intercept_calibration_mse,loo_feature_mse,delta_mse_vs_raw,delta_mse_vs_calibration,pearson_r,spearman_rho,loo_mean_slope
water_release_q4md,2.401704837990479,0.40966116275209524,0.5398180272031649,1.8618868107873139,-0.1301568644510696,-0.4714920074020312,-0.3571428571428572,-0.06993623147080572
water_entropy_q4md_kcalmol,2.401704837990479,0.40966116275209524,0.49555234027074746,1.9061524977197313,-0.08589117751865222,-0.0953692682376982,0.12613124477737825,-0.06991544579987327
host_entropy_q4md_kcalmol,2.401704837990479,0.40966116275209524,0.5298050990278755,1.8718997389626033,-0.1201439362757803,0.49268924976881734,0.28571428571428575,2.25846434176511
