n1max,n2max,theta_deg,fc_probability_sum,rate_proxy
20,12,0,0.9999999999999996,8.427805143074043e-52
20,12,5,1.0000000000000002,1.714600495813025e-09
20,12,10,0.9999999999999997,3.473803141882687e-07
20,12,20,0.9999999999850188,4.435031641713334e-05
20,12,30,0.9999999683312222,0.0005435550958554703
20,12,45,0.9999907611866439,0.003496331432680174
20,12,60,0.99987084317693,0.005089202559725982
30,16,0,0.9999999999999996,8.427805143074043e-52
30,16,5,1.0000000000000002,1.714600495813025e-09
30,16,10,1.0,3.473803141882687e-07
30,16,20,0.9999999999999885,4.435031641713334e-05
30,16,30,0.9999999997608101,0.0005435550958614142
30,16,45,0.9999996136847091,0.003496331946655657
30,16,60,0.9999881914461343,0.005089360255509381
40,20,0,0.9999999999999996,8.427805143074043e-52
40,20,5,1.0000000000000002,1.714600495813025e-09
40,20,10,0.9999999999999997,3.473803141882687e-07
40,20,20,0.9999999999999997,4.435031641713334e-05
40,20,30,0.9999999999981454,0.0005435550958614142
40,20,45,0.9999999834108049,0.003496331946655657
40,20,60,0.9999988877059778,0.005089360255509381
60,30,0,0.9999999999999996,8.427805143074043e-52
60,30,5,1.0000000000000002,1.714600495813025e-09
60,30,10,1.0,3.473803141882687e-07
60,30,20,0.9999999999999998,4.435031641713334e-05
60,30,30,0.9999999999999996,0.0005435550958614142
60,30,45,0.9999999999932515,0.003496331946655657
60,30,60,0.9999999967857964,0.005089360255509381
80,40,0,0.9999999999999996,8.427805143074043e-52
80,40,5,1.0000000000000002,1.714600495813025e-09
80,40,10,1.0,3.473803141882687e-07
80,40,20,0.9999999999999997,4.435031641713334e-05
80,40,30,0.9999999999999997,0.0005435550958614142
80,40,45,0.9999999999999969,0.003496331946655657
80,40,60,0.9999999999902444,0.005089360255509381
