validation,predictor,n,pearson_r,spearman_rho,loo_mse,loo_mae_log,delta_mse_solv_vs_visc
condition_LOO,bulk_viscosity,8,0.984911838952537,0.9940297973880048,0.04490423428485252,0.16692425442981096,
condition_LOO,solvation_time,8,0.946160,0.976190,0.18887632452894118,0.3169327,-0.14397209024408866
identity_holdout,bulk_viscosity,8,,,0.04411174049786869,0.16696993182815412,
identity_holdout,solvation_time,8,,,0.1849930498828373,0.3251496195373281,-0.14088130938496862
