predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p,loo_mse,loo_mae_log,delta_mse_solv_vs_visc
bulk_viscosity,5,0.6504792732211796,0.23461120523261617,0.9,0.03738607346849874,1.985303476893543,1.1021095885037764,
solvation_time,5,0.9938210138689356,0.0005825145182245098,1.0,1.4042654220543602e-24,0.06352133931480466,0.1967390546291906,1.9217821375787383
