solvent,n,pearson_r,spearman_rho,log_rate_vs_log_tauR_slope,loo_temp_mse
he,4,-0.9730794028939158,-1.0,-2.3966491316262797,0.02442432236484412
hp,4,-0.9991223143534743,-1.0,-2.4011513242521234,0.001401452423949478
oc,4,-0.9842678889404166,-1.0,-1.7150205624067916,0.015370934935669236
dc,4,-0.9762006218797805,-1.0,-1.6219067684463149,0.03502399602939647
hd,4,-0.9992151755450797,-1.0,-1.0880206750678953,0.0016057725442180375
ch,4,-0.9983384634114233,-1.0,-1.511385158237781,0.00149087434712312
