direction,n,slope_logk_logeta,pearson_r,pearson_p,spearman_rho,spearman_p,loo_mse,loo_mae_log
forward,5,-0.7979083819777324,-0.9951759390564171,0.00040191899076641853,-1.0,1.4042654220543602e-24,0.004293762258124497,0.05650983794651419
reverse,5,-0.7681391972759358,-0.9943021679143929,0.0005158539954943236,-1.0,1.4042654220543602e-24,0.004526157831415126,0.05878426082843173
