solvent,n,pearson_r,spearman_rho,log_rate_vs_log_tauR_slope,loo_temp_mse
he,5,-0.9948519202038838,-0.9999999999999999,-1.8287556908261375,0.005246878569738464
hp,5,-0.9817647587379544,-0.9999999999999999,-1.3684860152662277,0.00839231396120545
oc,5,-0.998345632622533,-0.9999999999999999,-1.5466366530449913,0.0009150476131483348
dc,5,-0.9742943558643927,-0.9999999999999999,-1.4697149465025208,0.03034309501082144
hd,4,-0.984454050787967,-1.0,-1.3268601013229036,0.020961018822298894
ch,5,-0.996745775137022,-0.9999999999999999,-1.1595551156694903,0.0019582862803959357
ac,5,-0.9904992824258726,-0.9999999999999999,-1.2401619066431344,0.0055097586674116
