predictor,pearson_r_log,pearson_p,spearman_rho,spearman_p,loo_mse,loo_mean_slope,loo_slope_sd
bulk_viscosity,-0.9975777522024687,6.540174260957611e-13,-1.0,0.0,0.0030056371395538162,-0.7016312840947175,0.007639050786870637
rotational_reorientation,-0.9964893521016746,4.174881374427281e-12,-1.0,0.0,0.004214396851472711,-1.119242918071357,0.013809484992580771
delta_mse_micro_vs_bulk,,,,,-0.0012087597119188952,,
