phi_deg,Pq_direct,Pq_adapter,positive_unstable_pole,mechanical_chi_carriers,refusal_count
0,0.621267812518167,0.621267812518166,0.624810533843827,2,0
15,0.651690370310195,0.651690370310195,0.644099330810555,2,0
30,0.731493158727178,0.731493158727179,0.700245529054744,2,0
45,0.821998886596875,0.821998886596874,0.782921989608162,2,0
60,0.882677037886843,0.882677037886844,0.868471380881919,2,0
75,0.909331193278628,0.909331193278627,0.930651061762929,2,0
90,0.916025147168922,0.916025147168922,0.953061862208317,2,0
