solvent,T0,T1,X1,TX
he,0.12028898408754692,0.005849997839383799,0.19707034691656336,0.14207453510829052
hp,0.1129010688201589,0.004149525149133941,0.083047658691417,0.055544273077269536
oc,0.15172094688077717,0.031329656858525255,0.028328514085553713,0.016012717935908537
dc,0.24183746361205533,0.11182798554001136,0.05059896600698235,0.011046572179042074
hd,0.33485295116576186,0.3550406099650607,0.009951647792513833,0.0644309836879329
ch,0.07561516237013007,0.002571373792248024,0.0307454935719992,0.021001181063507866
ac,0.933507971267882,0.888797422770909,0.6247957652771876,0.7107468629366416
