case,components_chi_r,chi_total,weighted_mean_r,weighted_var_r,omega0_tau_rel,relative_rate_prefactor
same_chi_fast,1.0:0.1,1.0,0.1,0.0,2.4050000000000002,0.41580041580041577
same_chi_mid,1.0:1.0,1.0,1.0,0.0,1.9999999999999993,0.5000000000000002
same_chi_slow,1.0:10.0,1.0,10.0,0.0,42.500000000000426,0.023529411764705646
two_fast,0.5:0.1;0.5:0.2,1.0,0.15000000000000002,0.0025000000000000005,2.362405594405595,0.42329733825897503
split_fast_slow,0.5:0.1;0.5:10.0,1.0,5.05,24.5025,1.933505158409878,0.517195413547489
two_slow,0.5:5.0;0.5:10.0,1.0,7.5,6.25,16.461716937354964,0.06074700493305153
same_mean_single,1.0:1.0,1.0,1.0,0.0,1.9999999999999993,0.5000000000000002
same_mean_wide,0.5:0.1;0.5:1.9,1.0,1.0,0.8099999999999999,2.0543506493506505,0.48677181780826223
same_mean_extreme,0.5:0.0001;0.5:1.9999,1.0,1.0,0.9998000100000001,2.0999480064399214,0.47620226640530855
